event_id,date,target_key,event_name,event_type,window_start,window_end,matched,n_flagged_hours_in_window,peak_hour,peak_ridership,peak_baseline,peak_anomaly_ratio,peak_z_score,peak_flag_method
civic-dfa67d3409db,2024-01-01,times_sq,New Year's Day Ball Drop Aftermath,Civic,2023-12-31 21:00:00,2024-01-01 05:00:00,True,5,2024-01-01 02:00:00,3218.0,277.5,11.596396396396397,,ratio
nba-2c2609742113,2024-01-01,msg_penn,NYK vs Minnesota Timberwolves,Sports-NBA,2024-01-01 12:00:00,2024-01-01 20:30:00,False,0,,,,,,
nhl-a2a4818f7dc6,2024-01-02,msg_penn,NYR vs Carolina Hurricanes,Sports-NHL,2024-01-02 16:00:00,2024-01-03 00:30:00,False,0,,,,,,
nba-13766732cf32,2024-01-03,msg_penn,NYK vs Chicago Bulls,Sports-NBA,2024-01-03 17:30:00,2024-01-04 02:00:00,True,2,2024-01-03 23:00:00,2082.0,754.0,2.7612732095490715,,ratio
nhl-a0ec3157d3c8,2024-01-04,msg_penn,NYR vs Chicago Blackhawks,Sports-NHL,2024-01-04 16:00:00,2024-01-05 00:30:00,True,1,2024-01-04 21:00:00,3508.0,2232.5,1.5713325867861143,,ratio
nba-7881147cd73e,2024-01-05,barclays,BRK vs Oklahoma City Thunder,Sports-NBA,2024-01-05 16:30:00,2024-01-06 01:00:00,True,2,2024-01-05 22:00:00,5508.0,926.0,5.94816414686825,,ratio
nba-b7fd471245fe,2024-01-07,barclays,BRK vs Portland Trail Blazers,Sports-NBA,2024-01-07 12:00:00,2024-01-07 20:30:00,True,2,2024-01-07 18:00:00,3669.0,1410.5,2.6012052463665367,,ratio
nhl-ecb29ab81a95,2024-01-08,msg_penn,NYR vs Vancouver Canucks,Sports-NHL,2024-01-08 16:00:00,2024-01-09 00:30:00,False,0,,,,,,
nba-2be5758506b9,2024-01-09,msg_penn,NYK vs Portland Trail Blazers,Sports-NBA,2024-01-09 16:30:00,2024-01-10 01:00:00,False,0,,,,,,
concert-0a41a4dde4b6,2024-01-11,msg_penn,Billy Joel @ Madison Square Garden,Concert,2024-01-11 17:00:00,2024-01-12 02:00:00,False,0,,,,,,
concert-cbd1b087a4f0,2024-01-12,msg_penn,Tool @ Madison Square Garden,Concert,2024-01-12 17:00:00,2024-01-13 02:00:00,False,0,,,,,,
concert-7b5984170d0e,2024-01-13,msg_penn,Elder @ Madison Square Garden,Concert,2024-01-13 17:00:00,2024-01-14 02:00:00,False,0,,,,,,
nhl-aa3d2090394e,2024-01-14,msg_penn,NYR vs Washington Capitals,Sports-NHL,2024-01-14 16:00:00,2024-01-15 00:30:00,False,0,,,,,,
nba-38cfbd800563,2024-01-15,msg_penn,NYK vs Orlando Magic,Sports-NBA,2024-01-15 12:00:00,2024-01-15 20:30:00,True,2,2024-01-15 14:00:00,1951.0,2038.0,0.9573110893032385,4.840961809661748,z
nba-71861ab40069,2024-01-15,barclays,BRK vs Miami Heat,Sports-NBA,2024-01-15 16:30:00,2024-01-16 01:00:00,True,5,2024-01-15 22:00:00,4861.0,642.5,7.565758754863813,50.39846558166699,both
nhl-9972c3eef7ce,2024-01-16,msg_penn,NYR vs Seattle Kraken,Sports-NHL,2024-01-16 16:00:00,2024-01-17 00:30:00,True,1,2024-01-16 23:00:00,721.0,683.0,1.055636896046852,4.692617729692543,z
nba-a5f1a03d3d5b,2024-01-17,msg_penn,NYK vs Houston Rockets,Sports-NBA,2024-01-17 16:30:00,2024-01-18 01:00:00,True,4,2024-01-17 22:00:00,2635.0,1364.5,1.931110296812019,4.828902429488732,both
nba-779d12ea1d87,2024-01-18,msg_penn,NYK vs Washington Wizards,Sports-NBA,2024-01-18 16:30:00,2024-01-19 01:00:00,True,2,2024-01-18 22:00:00,2864.0,1784.0,1.6053811659192825,2.7750012790565397,ratio
nba-19e2757be781,2024-01-20,msg_penn,NYK vs Toronto Raptors,Sports-NBA,2024-01-20 16:30:00,2024-01-21 01:00:00,True,2,2024-01-20 22:00:00,2472.0,1719.5,1.4376272172143065,34.0295138446026,z
concert-eb1122fa69d4,2024-01-22,msg_penn,Madonna @ Madison Square Garden,Concert,2024-01-22 17:00:00,2024-01-23 02:00:00,True,2,2024-01-23 00:00:00,1491.0,400.5,3.7228464419475658,33.737773749068424,both
nba-859ca2ea7fe4,2024-01-23,barclays,BRK vs New York Knicks,Sports-NBA,2024-01-23 16:30:00,2024-01-24 01:00:00,True,5,2024-01-23 22:00:00,3628.0,707.0,5.1315417256011315,41.02916964209236,both
concert-8445aa85eca4,2024-01-23,msg_penn,Madonna @ Madison Square Garden,Concert,2024-01-23 17:00:00,2024-01-24 02:00:00,True,4,2024-01-24 00:00:00,1299.0,355.0,3.659154929577465,17.68421052631579,both
nba-5c1a18d71ff3,2024-01-25,barclays,BRK vs Minnesota Timberwolves,Sports-NBA,2024-01-25 16:30:00,2024-01-26 01:00:00,True,4,2024-01-25 22:00:00,4242.0,806.5,5.259764414135152,91.94303036844792,both
