event_id,date,start_time,end_time,venue_station_id,target_key,event_name,event_type,expected_attendance,source,source_url,notes
civic-dfa67d3409db,2024-01-01,00:00,02:00,611,times_sq,New Year's Day Ball Drop Aftermath,Civic,1000000.0,wikipedia.org,https://en.wikipedia.org/wiki/Times_Square_Ball,carryover from NYE 2023->2024
nba-2c2609742113,2024-01-01,15:00,17:30,318,msg_penn,NYK vs Minnesota Timberwolves,Sports-NBA,19812.0,www.basketball-reference.com,https://www.basketball-reference.com/teams/NYK/2024_games.html,season=2023-24
nhl-a2a4818f7dc6,2024-01-02,19:00,21:30,318,msg_penn,NYR vs Carolina Hurricanes,Sports-NHL,18006.0,www.hockey-reference.com,https://www.hockey-reference.com/teams/NYR/2024_games.html,season=2023-24; start time fallback (19:00)
nba-13766732cf32,2024-01-03,20:30,23:00,318,msg_penn,NYK vs Chicago Bulls,Sports-NBA,19812.0,www.basketball-reference.com,https://www.basketball-reference.com/teams/NYK/2024_games.html,season=2023-24
nhl-a0ec3157d3c8,2024-01-04,19:00,21:30,318,msg_penn,NYR vs Chicago Blackhawks,Sports-NHL,18006.0,www.hockey-reference.com,https://www.hockey-reference.com/teams/NYR/2024_games.html,season=2023-24; start time fallback (19:00)
nba-7881147cd73e,2024-01-05,19:30,22:00,617,barclays,BRK vs Oklahoma City Thunder,Sports-NBA,18147.0,www.basketball-reference.com,https://www.basketball-reference.com/teams/BRK/2024_games.html,season=2023-24
nba-b7fd471245fe,2024-01-07,15:00,17:30,617,barclays,BRK vs Portland Trail Blazers,Sports-NBA,17732.0,www.basketball-reference.com,https://www.basketball-reference.com/teams/BRK/2024_games.html,season=2023-24
nhl-ecb29ab81a95,2024-01-08,19:00,21:30,318,msg_penn,NYR vs Vancouver Canucks,Sports-NHL,18006.0,www.hockey-reference.com,https://www.hockey-reference.com/teams/NYR/2024_games.html,season=2023-24; start time fallback (19:00)
nba-2be5758506b9,2024-01-09,19:30,22:00,318,msg_penn,NYK vs Portland Trail Blazers,Sports-NBA,19812.0,www.basketball-reference.com,https://www.basketball-reference.com/teams/NYK/2024_games.html,season=2023-24
concert-0a41a4dde4b6,2024-01-11,20:00,23:00,318,msg_penn,Billy Joel @ Madison Square Garden,Concert,,setlist.fm,https://www.setlist.fm/setlist/baf7d4e,start time default (20:00); tour=Billy Joel at The Garden
concert-cbd1b087a4f0,2024-01-12,20:00,23:00,318,msg_penn,Tool @ Madison Square Garden,Concert,,setlist.fm,https://www.setlist.fm/setlist/73af7a2d,start time default (20:00); tour=Winter Tour 2024
concert-7b5984170d0e,2024-01-13,20:00,23:00,318,msg_penn,Elder @ Madison Square Garden,Concert,,setlist.fm,https://www.setlist.fm/setlist/3baf6c38,start time default (20:00); tour=USA Tour 2024
nhl-aa3d2090394e,2024-01-14,19:00,21:30,318,msg_penn,NYR vs Washington Capitals,Sports-NHL,18006.0,www.hockey-reference.com,https://www.hockey-reference.com/teams/NYR/2024_games.html,season=2023-24; start time fallback (19:00)
nba-38cfbd800563,2024-01-15,15:00,17:30,318,msg_penn,NYK vs Orlando Magic,Sports-NBA,19812.0,www.basketball-reference.com,https://www.basketball-reference.com/teams/NYK/2024_games.html,season=2023-24
nba-71861ab40069,2024-01-15,19:30,22:00,617,barclays,BRK vs Miami Heat,Sports-NBA,17893.0,www.basketball-reference.com,https://www.basketball-reference.com/teams/BRK/2024_games.html,season=2023-24
nhl-9972c3eef7ce,2024-01-16,19:00,21:30,318,msg_penn,NYR vs Seattle Kraken,Sports-NHL,18006.0,www.hockey-reference.com,https://www.hockey-reference.com/teams/NYR/2024_games.html,season=2023-24; start time fallback (19:00)
nba-a5f1a03d3d5b,2024-01-17,19:30,22:00,318,msg_penn,NYK vs Houston Rockets,Sports-NBA,19439.0,www.basketball-reference.com,https://www.basketball-reference.com/teams/NYK/2024_games.html,season=2023-24
nba-779d12ea1d87,2024-01-18,19:30,22:00,318,msg_penn,NYK vs Washington Wizards,Sports-NBA,19466.0,www.basketball-reference.com,https://www.basketball-reference.com/teams/NYK/2024_games.html,season=2023-24
nba-19e2757be781,2024-01-20,19:30,22:00,318,msg_penn,NYK vs Toronto Raptors,Sports-NBA,19812.0,www.basketball-reference.com,https://www.basketball-reference.com/teams/NYK/2024_games.html,season=2023-24
concert-eb1122fa69d4,2024-01-22,20:00,23:00,318,msg_penn,Madonna @ Madison Square Garden,Concert,,setlist.fm,https://www.setlist.fm/setlist/43ac971b,start time default (20:00); tour=The Celebration Tour
nba-859ca2ea7fe4,2024-01-23,19:30,22:00,617,barclays,BRK vs New York Knicks,Sports-NBA,17732.0,www.basketball-reference.com,https://www.basketball-reference.com/teams/BRK/2024_games.html,season=2023-24
concert-8445aa85eca4,2024-01-23,20:00,23:00,318,msg_penn,Madonna @ Madison Square Garden,Concert,,setlist.fm,https://www.setlist.fm/setlist/33ac8cd9,start time default (20:00); tour=The Celebration Tour
nba-5c1a18d71ff3,2024-01-25,19:30,22:00,617,barclays,BRK vs Minnesota Timberwolves,Sports-NBA,17732.0,www.basketball-reference.com,https://www.basketball-reference.com/teams/BRK/2024_games.html,season=2023-24
nba-d30d5d1d0a56,2024-01-25,19:30,22:00,318,msg_penn,NYK vs Denver Nuggets,Sports-NBA,19812.0,www.basketball-reference.com,https://www.basketball-reference.com/teams/NYK/2024_games.html,season=2023-24
nhl-5da40099c8d1,2024-01-26,19:00,21:30,318,msg_penn,NYR vs Vegas Golden Knights,Sports-NHL,18006.0,www.hockey-reference.com,https://www.hockey-reference.com/teams/NYR/2024_games.html,season=2023-24; start time fallback (19:00)
nba-e6352657dbd2,2024-01-27,15:00,17:30,318,msg_penn,NYK vs Miami Heat,Sports-NBA,19812.0,www.basketball-reference.com,https://www.basketball-reference.com/teams/NYK/2024_games.html,season=2023-24
nba-59fdf59fa842,2024-01-27,18:00,20:30,617,barclays,BRK vs Houston Rockets,Sports-NBA,17732.0,www.basketball-reference.com,https://www.basketball-reference.com/teams/BRK/2024_games.html,season=2023-24
nba-6c28874f3e9d,2024-01-29,19:30,22:00,617,barclays,BRK vs Utah Jazz,Sports-NBA,16054.0,www.basketball-reference.com,https://www.basketball-reference.com/teams/BRK/2024_games.html,season=2023-24
concert-3080a5d6e9d9,2024-01-29,20:00,23:00,318,msg_penn,Madonna @ Madison Square Garden,Concert,,setlist.fm,https://www.setlist.fm/setlist/43accf6f,start time default (20:00); tour=The Celebration Tour
nba-7f30d5f0080d,2024-01-30,19:30,22:00,318,msg_penn,NYK vs Utah Jazz,Sports-NBA,19133.0,www.basketball-reference.com,https://www.basketball-reference.com/teams/NYK/2024_games.html,season=2023-24
