station_complex_id,station_complex,borough
119,1 Av (L),Manhattan
309,103 St (1),Manhattan
395,103 St (6),Manhattan
156,"103 St (C,B)",Manhattan
450,103 St-Corona Plaza (7),Queens
193,104 St (A),Queens
82,"104 St (J,Z)",Queens
394,110 St (6),Manhattan
449,111 St (7),Queens
194,111 St (A),Queens
81,111 St (J),Queens
440,"116 St (2,3)",Manhattan
393,116 St (6),Manhattan
154,"116 St (C,B)",Manhattan
307,116 St-Columbia University (1),Manhattan
80,"121 St (J,Z)",Queens
306,125 St (1),Manhattan
439,"125 St (2,3)",Manhattan
392,"125 St (4,5,6)",Manhattan
153,"125 St (A,C,B,D)",Manhattan
438,"135 St (2,3)",Manhattan
152,"135 St (C,B)",Manhattan
305,137 St-City College (1),Manhattan
391,"138 St-Grand Concourse (4,5)",Bronx
618,"14 St (A,C,E)/8 Av (L)",Manhattan
601,"14 St (F,M,1,2,3)/6 Av (L)",Manhattan
602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",Manhattan
304,145 St (1),Manhattan
437,145 St (3),Manhattan
151,"145 St (A,C,B,D)",Manhattan
603,"149 St-Grand Concourse (2,4,5)",Bronx
241,"15 St-Prospect Park (F,G)",Brooklyn
220,"155 St (B,D)",Manhattan
150,155 St (C),Manhattan
303,157 St (1),Manhattan
604,"161 St-Yankee Stadium (B,D,4)",Bronx
149,163 St-Amsterdam Av (C),Manhattan
388,167 St (4),Bronx
218,"167 St (B,D)",Bronx
605,"168 St (A,C,1)",Manhattan
255,169 St (F),Queens
387,170 St (4),Bronx
217,"170 St (B,D)",Bronx
428,"174 St (2,5)",Bronx
216,"174-175 Sts (B,D)",Bronx
147,175 St (A),Manhattan
385,176 St (4),Bronx
66,18 Av (D),Brooklyn
245,18 Av (F),Brooklyn
74,18 Av (N),Brooklyn
321,18 St (1),Manhattan
301,181 St (1),Manhattan
146,181 St (A),Manhattan
214,"182-183 Sts (B,D)",Bronx
383,183 St (4),Bronx
145,190 St (A),Manhattan
300,191 St (1),Manhattan
232,2 Av (F),Manhattan
67,20 Av (D),Brooklyn
75,20 Av (N),Brooklyn
298,207 St (1),Manhattan
282,21 St (G),Queens
221,21 St-Queensbridge (F),Queens
297,215 St (1),Manhattan
420,"219 St (2,5)",Bronx
419,"225 St (2,5)",Bronx
320,23 St (1),Manhattan
405,23 St (6),Manhattan
165,"23 St (C,E)",Manhattan
228,"23 St (F,M)",Manhattan
14,"23 St (R,W)",Manhattan
295,231 St (1),Bronx
418,"233 St (2,5)",Bronx
294,238 St (1),Bronx
69,25 Av (D),Brooklyn
31,25 St (R),Brooklyn
319,28 St (1),Manhattan
404,28 St (6),Manhattan
13,"28 St (R,W)",Manhattan
118,3 Av (L),Manhattan
377,3 Av-138 St (6),Bronx
434,"3 Av-149 St (2,5)",Bronx
3,"30 Av (N,W)",Queens
403,33 St (6),Manhattan
460,33 St-Rawson St (7),Queens
607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan
471,34 St-Hudson Yards (7),Manhattan
318,"34 St-Penn Station (1,2,3)",Manhattan
164,"34 St-Penn Station (A,C,E)",Manhattan
5,"36 Av (N,W)",Queens
32,"36 St (D,N,R)",Brooklyn
272,"36 St (M,R)",Queens
6,"39 Av-Dutch Kills (N,W)",Queens
608,"4 Av (F,G)/9 St (R)",Brooklyn
459,40 St-Lowery St (7),Queens
33,45 St (R),Brooklyn
270,"46 St (M,R)",Queens
458,46 St-Bliss St (7),Queens
